Volcano Number,Latitude,Longitude,Elevation (m)
257060,-16.6797,168.3893,833
257070,-16.8304,168.5227,-2
257081,-17.4522,168.353,589
257090,-18.754,169.238,817
257100,-19.532,169.447,361
258001,-20.957,170.13,-33
258010,-22.33,171.32,177
258020,-22.4,172.05,297
259010,-37.77,142.5,1011
259804,-18.367,144.567,1020
260001,13.43,94.28,710
260010,12.278,93.858,354
261030,4.903,96.289,2785
261050,4.769,96.821,2617
261070,3.2379,98.5127,2181
261080,3.17,98.392,2460
261090,2.6083,98.8417,2157
261120,0.686,99.539,2145
261121,0.47,99.67,1983
261130,0.079,99.98,2919
261140,-0.38,100.474,2885
261150,-0.39,100.331,2854
261160,-0.979,100.681,2575
261170,-1.697,101.264,3800
261180,-2.414,101.728,2507
261220,-3.522,102.615,1940
261230,-4.016,103.121,3142
261231,-4.257,103.306,2836
261251,-4.871,103.925,1854
261270,-5.25,104.27,1000
262000,-6.1009,105.4233,285
263010,-6.343,105.978,1324
263020,-6.268,106.05,1768
263040,-6.75,106.675,1726
263050,-6.716,106.733,2218
263060,-6.786,106.983,3026
263070,-7.162,107.4,2422
263090,-6.77,107.6,2084
263100,-7.32,107.73,2665
263110,-7.245,107.709,2594
263130,-7.143,107.841,2251
263131,-6.7639,107.9612,1690
263140,-7.25,108.058,2168
263150,-7.208,108.07,2201
263170,-6.895,108.408,3039
263180,-7.242,109.208,3428
263200,-7.2,109.879,2565
263210,-7.302,109.996,3147
263220,-7.384,110.07,3371
263240,-7.454,110.44,3118
263250,-7.54,110.446,2910
263260,-7.625,111.192,3265
263270,-7.808,111.758,2563
263280,-7.935,112.314,1730
263281,-7.92,112.45,2651
263290,-7.733,112.575,3343
263291,-7.616,112.62,1631
263300,-8.108,112.922,3657
263310,-7.942,112.95,2329
263320,-7.981,113.341,1641
263330,-7.97,113.57,3088
263340,-8.119,114.056,3260
263350,-8.058,114.242,2769
263351,-7.85,114.37,1247
264001,-8.283,115.133,2244
264010,-8.2403,115.3775,1711
264020,-8.343,115.508,2997
264030,-8.42,116.47,3726
264040,-8.25,118,2850
264050,-8.2,119.07,1912
264060,-8.7345,120.0074,1319
264071,-8.637,120.5302,2288
264080,-8.875,120.95,2245
264090,-8.73,120.98,1559
264100,-8.817,121.191,2096
264110,-8.891,121.641,618
264140,-8.77,121.82,1639
264150,-8.32,121.708,875
264160,-8.676,122.455,1661
264180,-8.542,122.775,1703
264220,-8.342,123.258,1659
264230,-8.274,123.508,1431
264240,-8.55,123.38,1018
264250,-8.532,123.573,583
264260,-7.791,123.585,633
264270,-8.4972,124.1306,1347
265040,-7.125,128.675,868
265050,-6.976,129.144,728
265060,-6.73,129.5,781
265070,-6.312,130.017,608
265080,-5.543,130.303,257
265090,-4.523,129.881,596
266010,-0.162,121.601,404
266020,0.75,124.42,1795
266030,1.112,124.737,1785
266100,1.3644,124.7992,1580
