lon,lat,x,y,z,vp,vs,vp_vs_ratio
-83.786,10.458,-100.000,140.000,16.000,6.460,0.000,0.0000
-83.786,10.458,-100.000,140.000,20.000,6.720,0.000,0.0000
-83.786,10.458,-100.000,140.000,25.000,7.010,0.000,0.0000
-83.786,10.458,-100.000,140.000,30.000,7.390,0.000,0.0000
-83.786,10.458,-100.000,140.000,35.000,7.550,0.000,0.0000
-83.786,10.458,-100.000,140.000,40.000,8.140,0.000,0.0000
-83.786,10.458,-100.000,140.000,50.000,8.140,0.000,0.0000
-83.786,10.458,-100.000,140.000,65.000,8.260,0.000,0.0000
-83.786,10.458,-100.000,140.000,90.000,8.260,0.000,0.0000
-83.786,10.458,-100.000,140.000,700.000,10.300,0.000,0.0000
-83.785,10.638,-100.000,160.000,-10.000,3.000,0.000,0.0000
-83.785,10.638,-100.000,160.000,0.000,5.350,0.000,0.0000
-83.785,10.638,-100.000,160.000,5.000,6.120,0.000,0.0000
-83.785,10.638,-100.000,160.000,9.000,6.120,0.000,0.0000
-83.785,10.638,-100.000,160.000,13.000,6.280,0.000,0.0000
-83.785,10.638,-100.000,160.000,16.000,6.460,0.000,0.0000
-83.785,10.638,-100.000,160.000,20.000,6.720,0.000,0.0000
-83.785,10.638,-100.000,160.000,25.000,7.010,0.000,0.0000
-83.785,10.638,-100.000,160.000,30.000,7.390,0.000,0.0000
-83.785,10.638,-100.000,160.000,35.000,7.550,0.000,0.0000
-83.785,10.638,-100.000,160.000,40.000,8.140,0.000,0.0000
-83.785,10.638,-100.000,160.000,50.000,8.140,0.000,0.0000
-83.785,10.638,-100.000,160.000,65.000,8.260,0.000,0.0000
-83.785,10.638,-100.000,160.000,90.000,8.260,0.000,0.0000
-83.785,10.638,-100.000,160.000,700.000,10.300,0.000,0.0000
-83.785,10.818,-100.000,180.000,-10.000,3.000,0.000,0.0000
-83.785,10.818,-100.000,180.000,0.000,5.350,0.000,0.0000
-83.785,10.818,-100.000,180.000,5.000,6.120,0.000,0.0000
-83.785,10.818,-100.000,180.000,9.000,6.120,0.000,0.0000
-83.785,10.818,-100.000,180.000,13.000,6.280,0.000,0.0000
-83.785,10.818,-100.000,180.000,16.000,6.460,0.000,0.0000
-83.785,10.818,-100.000,180.000,20.000,6.720,0.000,0.0000
-83.785,10.818,-100.000,180.000,25.000,7.010,0.000,0.0000
-83.785,10.818,-100.000,180.000,30.000,7.390,0.000,0.0000
-83.785,10.818,-100.000,180.000,35.000,7.550,0.000,0.0000
-83.785,10.818,-100.000,180.000,40.000,8.140,0.000,0.0000
-83.785,10.818,-100.000,180.000,50.000,8.140,0.000,0.0000
-83.785,10.818,-100.000,180.000,65.000,8.260,0.000,0.0000
-83.785,10.818,-100.000,180.000,90.000,8.260,0.000,0.0000
-83.785,10.818,-100.000,180.000,700.000,10.300,0.000,0.0000
-83.784,10.997,-100.000,200.000,-10.000,3.000,0.000,0.0000
-83.784,10.997,-100.000,200.000,0.000,5.350,0.000,0.0000
-83.784,10.997,-100.000,200.000,5.000,6.120,0.000,0.0000
-83.784,10.997,-100.000,200.000,9.000,6.120,0.000,0.0000
-83.784,10.997,-100.000,200.000,13.000,6.280,0.000,0.0000
-83.784,10.997,-100.000,200.000,16.000,6.460,0.000,0.0000
-83.784,10.997,-100.000,200.000,20.000,6.720,0.000,0.0000
-83.784,10.997,-100.000,200.000,25.000,7.010,0.000,0.0000
-83.784,10.997,-100.000,200.000,30.000,7.390,0.000,0.0000
-83.784,10.997,-100.000,200.000,35.000,7.550,0.000,0.0000
-83.784,10.997,-100.000,200.000,40.000,8.140,0.000,0.0000
-83.784,10.997,-100.000,200.000,50.000,8.140,0.000,0.0000
-83.784,10.997,-100.000,200.000,65.000,8.260,0.000,0.0000
-83.784,10.997,-100.000,200.000,90.000,8.260,0.000,0.0000
-83.784,10.997,-100.000,200.000,700.000,10.300,0.000,0.0000
-83.783,11.177,-100.000,220.000,-10.000,3.000,0.000,0.0000
-83.783,11.177,-100.000,220.000,0.000,5.350,0.000,0.0000
