# Vertices from mesh.e
# Format: Node_ID X Y [Z]
# Number of nodes: 9648
439 57349.894531 445000.281250 -7327.230469
440 57146.199219 442502.625000 -7396.918457
441 56915.292969 440008.218750 -7464.685547
442 56651.253906 437513.968750 -7531.330566
443 56343.523438 435022.312500 -7579.769043
444 55996.539062 432536.343750 -7613.740234
445 55631.394531 430058.125000 -7640.943848
446 55250.003906 427587.562500 -7675.530273
447 54873.058594 425120.968750 -7712.578125
448 54474.421875 422658.625000 -7746.559570
449 54076.472656 420194.375000 -7782.963379
450 53681.070312 417725.781250 -7811.826660
451 53287.148438 415251.750000 -7825.940430
452 52905.648438 412777.062500 -7828.676758
453 52554.906250 410298.625000 -7828.830078
454 52222.414062 407818.625000 -7847.209473
455 51909.792969 405331.468750 -7874.747070
456 51614.898438 402841.875000 -7906.406250
457 51337.523438 400348.437500 -7927.359863
458 51076.003906 397851.625000 -7952.215820
459 50830.207031 395354.062500 -7971.691895
460 50604.121094 392854.218750 -7982.604004
461 50390.648438 390352.718750 -7975.152832
462 50195.695312 387851.968750 -7955.879883
463 50015.371094 385351.750000 -7934.166016
464 49841.542969 382850.687500 -7931.048828
465 49686.910156 380351.468750 -7906.905273
466 49539.246094 377850.125000 -7896.375488
467 49409.933594 375350.375000 -7878.791992
468 49289.847656 372851.593750 -7845.466797
469 49183.492188 370348.375000 -7815.550293
470 49086.980469 367847.156250 -7767.824219
471 49000.359375 365349.125000 -7706.792480
472 48925.527344 362851.500000 -7636.740234
473 48856.023438 360359.062500 -7575.904785
474 48786.941406 357874.968750 -7523.154785
475 48731.441406 355399.375000 -7480.052734
476 48690.410156 352928.062500 -7449.290527
477 48685.355469 350450.718750 -7415.754883
478 48716.812500 347969.062500 -7375.218750
479 48817.414062 345497.468750 -7338.912598
480 48976.378906 343037.906250 -7333.327148
481 49207.488281 340565.187500 -7320.323242
482 49484.882812 338088.625000 -7334.029785
483 49811.210938 335624.625000 -7349.293945
484 50199.828125 333171.468750 -7401.012207
485 50628.156250 330695.093750 -7450.674316
486 51091.535156 328198.343750 -7479.801270
487 51597.816406 325715.781250 -7484.799805
488 52130.816406 323262.156250 -7436.060059
489 52649.332031 320846.437500 -7400.459473
490 53146.265625 318430.656250 -7378.113770
491 53636.222656 316006.250000 -7373.327148
492 54136.058594 313561.750000 -7376.156250
493 54618.964844 311110.843750 -7356.312500
494 55101.773438 308677.187500 -7332.221680
495 55576.539062 306250.343750 -7314.653320
496 56091.910156 303826.625000 -7314.442383
497 56645.128906 301399.281250 -7330.626465
498 57200.332031 298983.156250 -7348.763184
499 57768.000000 296572.593750 -7365.865723
500 58369.964844 294148.687500 -7391.994629
501 59049.433594 291707.312500 -7420.153320
502 59879.878906 289334.656250 -7445.658691
503 60898.625000 287136.343750 -7493.886230
504 62260.375000 285242.781250 -7588.651367
505 63804.773438 283513.125000 -7725.058105
506 65557.281250 281751.687500 -7910.307129
507 67344.757812 279962.781250 -8118.169922
508 69076.562500 278118.656250 -8335.932617
509 71053.078125 276548.406250 -8557.197266
510 72961.085938 274971.187500 -8755.505859
511 74793.953125 273430.187500 -8930.967773
512 75641.250000 271309.906250 -9015.600586
513 76099.671875 268879.031250 -9072.077148
514 76595.984375 266435.312500 -9132.457031
515 77113.335938 264006.812500 -9198.807617
516 77693.273438 261537.093750 -9259.108398
517 78351.539062 259128.140625 -9290.900391
518 79015.390625 256715.937500 -9291.867188
519 79643.664062 254323.078125 -9259.913086
520 80259.734375 251927.406250 -9219.232422
521 80594.851562 249491.921875 -9158.138672
522 80728.203125 246994.062500 -9080.634766
523 80857.531250 244457.218750 -8997.173828
524 80966.421875 241948.812500 -8907.749023
525 81062.976562 239490.812500 -8815.440430
526 81199.234375 237029.296875 -8749.356445
527 81424.734375 234549.640625 -8698.935547
528 82585.773438 232375.343750 -8737.833008
529 84079.062500 230446.437500 -8815.301758
530 85517.132812 228414.046875 -8906.993164
531 86827.843750 226291.031250 -8999.290039
532 88027.359375 224112.593750 -9093.386719
533 89170.468750 221880.718750 -9205.693359
534 90137.304688 219632.468750 -9310.830078
535 91031.648438 217287.406250 -9449.979492
536 91889.882812 214955.406250 -9597.969727
537 92706.460938 212587.031250 -9756.066406
538 93495.421875 210237.578125 -9920.839844
539 94247.578125 207910.375000 -10096.051758
540 95034.640625 205550.031250 -10315.777344
541 95793.671875 203221.859375 -10564.398438
542 96547.429688 200819.296875 -10801.220703
543 97319.867188 198402.968750 -10978.635742
544 98113.703125 195979.937500 -11079.670898
545 98896.351562 193571.781250 -11094.912109
546 99663.023438 191154.656250 -11032.988281
547 100416.335938 188767.875000 -10899.044922
548 101126.648438 186430.718750 -10724.813477
549 101795.296875 184086.750000 -10559.041016
550 102467.335938 181756.515625 -10451.922852
551 103187.718750 179378.265625 -10368.474609
552 103910.976562 176982.390625 -10270.883789
553 104641.218750 174594.421875 -10166.486328
554 105367.835938 172204.140625 -10070.496094
555 106117.914062 169814.031250 -10003.974609
556 106890.062500 167430.093750 -9958.282227
557 107667.812500 165064.281250 -9932.896484
558 108469.078125 162706.218750 -9924.245117
559 109280.187500 160351.390625 -9928.111328
560 110098.304688 158000.468750 -9913.738281
561 110933.468750 155656.296875 -9886.250000
562 111766.328125 153314.718750 -9817.692383
563 112594.859375 150970.765625 -9712.399414
564 113401.273438 148619.984375 -9576.050781
565 114188.617188 146248.750000 -9440.791992
566 114935.203125 143867.406250 -9382.236328
567 115639.718750 141488.734375 -9364.963867
568 116319.289062 139108.281250 -9357.266602
569 116986.046875 136721.890625 -9339.262695
570 117646.523438 134331.343750 -9299.641602
571 118305.312500 131939.968750 -9257.383789
572 118963.523438 129547.945312 -9192.857422
